# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
3.751232604664665304e-03;-1.453559461110031335e-03;-3.796455232202749358e-02;-3.724577486379751917e+03;1.907998283881648149e+03;5.039551907632832881e+05;5.133187250431762368e+04
3.065539576793621483e-03;-9.763764260288631657e-04;-7.624214623444722227e-02;-2.139155378787582322e+03;3.867849337250415260e+02;5.007660865869971458e+05;5.068171679827124899e+04
8.065805076005552765e-05;-2.028244130901489094e-03;4.399408560741544655e-02;5.186471292818401935e+02;4.789547437696362067e+03;5.113189173705598223e+05;5.284398822228266363e+04
-2.137629478329653983e-04;-2.531737094078144196e-03;-4.411700144243128896e-02;3.996640573803050529e+02;1.781101682341369496e+03;5.034033132162328111e+05;5.121664951190398278e+04
2.601206395384903641e-03;-1.256955073170941991e-04;-7.740096443114641289e-02;-1.950213557093649570e+03;2.298595022768345643e+03;5.006169926576862927e+05;5.065242418357602583e+04
-5.179291700528667122e-03;-1.251957441468504054e-03;-4.403157166107499881e-02;4.669332381252087544e+03;3.330097843918671970e+03;5.032459089826098643e+05;5.119060028404258628e+04
1.559146034439724262e-03;-2.470678565888599133e-04;-4.906642536251071274e-02;-1.592213844091428427e+03;-3.788841526622799449e+01;5.027104262482792255e+05;5.107559789449619711e+04
9.115546077468637603e-04;-6.248133314715090909e-04;7.899963011618996861e-03;-1.400921327819067301e+03;1.660600677874215535e+03;5.075851934384278138e+05;5.207138884759453504e+04
-5.660202450378175971e-04;-5.796027845221615607e-04;1.007838013869848393e-01;3.254635727076191074e+02;6.145326518813518533e+02;5.160554551981739351e+05;5.382286977425032092e+04
-4.021256714560551317e-03;-3.372599299205193170e-03;4.833667604372027075e-03;3.839167987374668883e+03;4.407723791322753641e+03;5.076471560903891805e+05;5.209005380163947848e+04
-3.168976149039356700e-04;-3.878062719539385151e-04;-3.512649651879076046e-02;1.016151041935178228e+03;-1.207168138804807285e+02;5.042349086689831456e+05;5.138553961459216953e+04
1.728498495429679890e-03;-5.091929908432501128e-04;5.245197451729388671e-02;-5.673245776381004362e+02;2.953722530078896853e+03;5.118076898519420647e+05;5.294219296524413949e+04
1.268692859209399892e-03;-1.318241986678249031e-03;4.097614854172528139e-03;-1.822327144647666501e+03;3.429418689566545254e+03;5.074797608367694193e+05;5.205185368300410482e+04
9.527490178383828112e-04;3.618345516826874941e-03;7.462210971216496486e-03;-9.966690649094069840e+02;-3.562596792723252292e+03;5.078058948471943731e+05;5.211849174304341432e+04
3.894731531893977881e-03;-8.544228260421154325e-04;3.850619240984178709e-02;-3.765776149781992899e+03;1.388497450096149578e+03;5.105106044437190867e+05;5.267562453157077834e+04
5.520691236391470948e-03;-2.790954551027296279e-04;-1.441525494955538632e-02;-4.206177515771109029e+03;2.242753924788320319e+01;5.063811075693464954e+05;5.182726221096237714e+04
-1.703761364824825386e-04;-4.107695180630383880e-04;4.823384316209673034e-02;-3.256817899537933840e+02;1.183325822717905567e+03;5.115396067825711798e+05;5.288522367651673267e+04
2.301045840604287827e-03;-1.327733413898957420e-03;8.611462148177943809e-02;-2.523706915998024215e+03;-1.256363319196904513e+03;5.150155238602624740e+05;5.360767445818817214e+04
-2.207108912156251218e-05;3.993666533733752173e-04;1.970030173579689556e-02;-7.714687732318101325e+02;-4.496213178761828289e+01;5.089866134448243538e+05;5.235848078582872404e+04
2.454975198691238675e-03;-9.013553832440231650e-04;-7.585938126534309822e-02;-2.451577204650539443e+03;1.382514535786935994e+03;5.007672632717581582e+05;5.068260089451615204e+04
2.035952056278613441e-03;6.712838022349106395e-05;8.817536705223386062e-02;-1.250581912135496623e+03;1.347807200923597748e+03;5.149915219639846473e+05;5.360175502993134432e+04
-3.170232352965846913e-03;1.771807358988913275e-03;1.330895141065479605e-02;3.043751849139003298e+03;-1.115738667836769764e+03;5.085170085077427793e+05;5.226391412243359082e+04
-2.148804676119559030e-03;2.017983786365359217e-03;-9.200753529788462115e-03;1.038613471661421045e+03;-5.387582574691396076e+03;5.065566841481630108e+05;5.186571447460824857e+04
