# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
-6.534456490324251372e-04;-1.588079507015660845e-03;2.134708614938269841e-02;-4.359199089782854752e-01;8.883885191977030900e+02;5.090499687780771637e+05;5.237155486492269119e+04
4.547616040125903561e-04;-1.059406274349297119e-03;-2.532359326882119982e-03;1.940609508049921601e+02;-4.009524522836608185e+02;5.074143095238000969e+05;5.203542076496795198e+04
8.943109464899611080e-04;1.614871140621536695e-03;6.196315551892163376e-02;1.074190965416377281e+02;1.023358925542803348e+02;5.129370542155188741e+05;5.317426528149977094e+04
-9.678376817854276038e-05;1.078998334077286084e-03;-4.190671950476441976e-02;-1.063990629121258991e+02;-1.632234179247400050e+02;5.034292876389952144e+05;5.122126914850735920e+04
1.077512983718077353e-03;-5.389749637975560937e-04;-5.041539766544590219e-03;-9.317954078433493805e+02;5.411991978562765553e+02;5.070115298749924987e+05;5.195303794607205054e+04
-1.415144985806241070e-04;1.889087098359823325e-05;-1.656798737733240420e-02;1.363080880834405662e+01;2.335548646968103981e+02;5.058851149013916729e+05;5.172222625298818457e+04
-1.454740691474244339e-03;1.689132333860326139e-04;2.949498316739305841e-03;1.378593176590703422e+02;1.107152993676766073e+03;5.073172409516171319e+05;5.201572536342710373e+04
-6.647108998539737754e-04;8.384957671457128137e-04;3.438369502693434769e-03;3.573661720213772242e+02;8.989337704562381077e+02;5.074893988619509619e+05;5.205097176543166279e+04
-1.281818840070197648e-04;1.139798203815345053e-03;1.012687705031399890e-02;2.776297009509222562e+02;-3.475886740270217388e+02;5.081428309062452172e+05;5.218494778320539626e+04
1.243977045384908999e-03;6.673121542683308404e-04;-3.726742526849999987e-02;1.575734390849479780e+02;2.985056023378089662e+02;5.039757355240319157e+05;5.133254120332976163e+04
-8.937791493135902824e-04;1.974280099218997733e-03;-5.518820917193784786e-02;-6.210294197826765412e+02;5.164573685814524424e+02;5.022731659370805137e+05;5.098640495442196698e+04
1.789540171256370901e-03;7.134398906680264850e-04;-3.871609918702596104e-02;-4.577381147094966707e+01;-2.326043685393152316e+02;5.037301631779616582e+05;5.128251611242246872e+04
-7.027636568626280042e-04;2.222042748202041258e-04;-3.758032768572772391e-03;5.968864309867763751e+01;4.701064643734236483e+02;5.067572660401659668e+05;5.190075356679807737e+04
